㘤	囗 氵 淵字边左 淵字边右 1
㘥	囗 爫 缶 3 糸
㘦	土 力
㘧	土 予
㘨	土 冂 人
㘩	土 比字旁 匕
㘪	土 毛
㘫	土 二 乔字底
㘬	土 勹 厶
㘭	土 幺 5
㘮	土 尸 4
㘯	土 卧人 力
㘰	土 冬字底 十
㘱	土 冂 里无日
㘲	土 尸 九
㘳	北字旁 匕 土
㘴	口 人 土
㘵	土 左字框 巾
㘶	夕 㐄 土
㘷	土 艹 乂
㘸	1 夕 匕 土
㘹	止 匕 土
㘺	土 亻 戈
㘻	土 囗 大
㘼	土 耂 丂
㘽	十 戈 土
㘾	土 宀 1 于无横
㘿	土 日 土
㙀	土 穴 九
㙁	土 卧人 母
㙂	土 丷 口 见字底
㙃	土 丘无横 1 八
㙄	土 比字旁 匕 土
㙅	土 口 木
㙆	土 宀 左字框 厶
㙇	土 豕 4
㙈	土 虎
㙉	土 见二 龷 八
㙊	土 長
㙋	土 其
㙌	土 肀 乔字底 八
㙍	土 又 又 又 又
㙎	土 戊 1 女
㙏	土 卧人 日 夊
㙐	土 山 而
㙑	3 口 冂 虫无口 土
㙒	田 予 土
㙓	土 土 土 土
㙔	土 韋字头 口 㐄
㙕	土 田 青字底
㙖	土 3 口 冂 虫无口
㙗	土 田 畏字底带横
㙘	土 覀 女
㙙	氵 尤 彡 土
㙚	土 美字头 牛
㙛	土 甫 寸
㙜	高 土
㙝	土 力 力 力 青字底
㙞	土 自 木
㙟	土 4 彐 瓜字心 月
㙠	匚 矢 殳 土
㙡	土 彳 人 人 龰
㙢	土 卄 1 巾 入 入
㙣	土 弓 長
㙤	土 虍 3 丷 于无横
㙥	土 亠 八 厶 衣省
㙦	全字头 1 朩 冬字底 十 土
㙧	土 亚三 匚 叚右角 田
㙨	土 幺 幺 戈 人
㙩	土 大 丷 日 小
㙪	土 士 冖 1 口 䒑
㙫	土 隹 木
㙬	來 犬 土
㙭	土 厂 䒑 䶹 欠
㙮	土 竹头 合
㙯	土 八 土 九 4 二 厶
㙰	尔字头 用 刀 牛 土
㙱	口 丂 虎 土
㙲	土 亠 丝左角 3 隹
㙳	土 戊 1 口 心
㙴	土 尔字头 厂 八 言
㙵	土 高 土
㙶	享字头 尚头 土
㙷	土 日 幺 幺 灬
㙸	土 亻 业 䒑 夫
㙹	土 艹 罒 冖 夕
㙺	土 匚 口 丄 貝
㙻	土 广 里 八 土
㙼	土 田 田 田
㙽	土 大框 丆 日 丆 日
㙾	土 臼裂 乂 乂 冖 子
㙿	土 美字头 禾 戈 乃
㚀	土 虍 1 口 䒑 戈
㚁	土 土 土 兀 土 土 土 兀
㚂	土 十 口 冖 口 口 寒字腰 衣省
㚃	士 冖 乂 凵 䒑
㚄	士 冖 田 5 龰
㚅	夊 1 生
㚆	亠 日 夊
㚇	乂 凵 八 夊
㚈	夕 十
㚉	乃 夕 夕
㚊	夕 夕 亥
㚋	夕 夕 周字框 土 口
㚌	夕 夕 日 木
㚍	夕 夕 口 丄 貝
㚎	大 凵
㚏	大 廾
㚐	大 大
㚑	彐 大
㚒	大 入 入
㚓	大 木
㚔	大 南字心
㚕	大 弓 乔字底
㚖	白 大
㚗	大 且
㚘	夫 夫
㚙	力 口 大
㚚	大 夕 口
㚛	大 匕 日
㚜	大 戈 口 1
㚝	大 亻 土 土
㚞	大 木 木
㚟	尔字头 口 比字旁 匕 大
㚠	大 美字头 灬
㚡	大 丁 口 大 丁 口
㚢	亻 女
㚣	女 女
㚤	女 弋
㚥	女 1 于无横
㚦	女 丌
㚧	女 广
㚨	女 5 十
㚩	女 冂 二
㚪	女 毛
㚫	女 及二 4
㚬	女 勹 冫
㚭	女 尤
㚮	女 冖 几
㚯	女 风省 乂
㚰	女 不 1
㚱	女 丘无横 1
㚲	女 卢字头 口
㚳	女 力 口
㚴	女 左字框 巾
㚵	女 夊 冬字底
㚶	女 㠯三 叚右角
㚷	女 全字头 小
㚸	女 5 1 口
㚹	女 卯
㚺	女 乃 子
㚻	田 女
㚼	女 田
㚽	工 丂 女
㚾	女 口 见字底
㚿	女 勹 巳
㛀	女 尔字头 彐
㛁	女 干 丷
㛂	女 反字框 巴
㛃	丰 刀 女
㛄	女 亠 衣省
㛅	女 耳
㛆	女 乃 木
㛇	女 广 土
㛈	女 耂 丂
㛉	女 西
㛊	女 几 木
㛋	女 全字头 恭字底无丶 4
㛌	女 厶 牛
㛍	女 大 人 人
㛎	女 口 口
㛏	女 1 氺 4
㛐	女 1 日 乂
㛑	卢字头 夕 又 女
㛒	女 1 口 䒑
㛓	女 乂 左字框 巾
㛔	女 夊 丰
㛕	女 口 巴
㛖	女 厶 八 夊
㛗	女 人 人 土
㛘	女 十 冖 子
㛙	女 辛
㛚	女 龴 甬字底
㛛	女 身
㛜	亻 2 攵 女
㛝	女 貝
㛞	女 王 廾
㛟	女 尔字头 见二 大
㛠	女 门 日
㛡	女 宀 1 兀
㛢	女 禾 乃
㛣	女 口 贝
㛤	女 1 丽下角 丽下角
㛥	女 水 日
㛦	女 木 木
㛧	女 山 石
㛨	女 差字头 6
㛩	女 亠 厶 青字底
㛪	女 大 电
㛫	女 日 勹 横两撇
㛬	女 土 八 土
㛭	女 龷 日
㛮	女 宀 火 又
㛯	女 尔字头 口 见字底 力
㛰	女 民字框 弋二 日
㛱	女 田 畏字底带横
㛲	女 頁
㛳	亠 丷 冖 巾 女
㛴	女 巛 囱字框 乂
㛵	女 爫 冂 里无日
㛶	女 山 左字框 火
㛷	禾 尤 女
㛸	女 壴
㛹	女 亻 1 日 乂
㛺	女 立 日
㛻	女 大 土 土
㛼	女 千 臼
㛽	女 宀 米
㛾	女 戊 1 口
㛿	女 带字头 冖 巾
㜀	女 木 目
㜁	女 木 日 1
㜂	土 土 寸 女
㜃	女 亻 言
㜄	女 風
㜅	女 亠 幺 田
㜆	女 米 辶
㜇	女 土 土 心
㜈	予 3 夊 力 女
㜉	女 巛 口 巴
㜊	女 尸 卄 畏字底带横
㜋	女 䒑 八 皿
㜌	彀字框无一 1 女
㜍	女 广 肀 口
㜎	女 爫 幺 大
㜏	女 口 貝
㜐	女 山 1 口 䒑
㜑	氵 甫 女
㜒	女 臼 廾
㜓	女 艹 合
㜔	女 立 口 见字底
㜕	女 車 辶
㜖	女 曹字头 日
㜗	女 厶 厶 厶 全字头 彡
㜘	女 虍 且
㜙	女 鹿
㜚	女 宀 亻 丆 日
㜛	女 車 欠
㜜	女 龶 万无横 攵
㜝	女 全字头 4 5 酉
㜞	車 斤 女
㜟	女 5 耳 攵
㜠	女 山 隹
㜡	女 彳 人 人 龰
㜢	女 口 十 口 女
㜣	女 然左角 犬 灬
㜤	女 覀 早
㜥	女 罒 貝
㜦	女 彐 工 口 寸
㜧	女 厂 䒑 䶹 欠
㜨	女 尸 犀字心头 牛
㜩	女 向字框 米 大
㜪	立 朩 斤 女
㜫	女 微字框无一 1 几
㜬	女 尔字头 厂 八 言
㜭	女 尚头 田
㜮	女 臣 临右角 皿
㜯	女 颐字旁 巳 灬
㜰	女 白 幺 幺 木
㜱	女 斤 斤 貝
㜲	女 赢字框 女
㜳	女 亠 罒 犀字心头 衣省
㜴	女 艹 罒 冖 目
㜵	女 亠 馬 衣省
㜶	女 尔字头 口 比字旁 匕 尔字头 口 见字底 4
㜷	弓 1 八 巾 乂 乂 乂 乂 女
㜸	艹 追字心 辛 女
㜹	女 目 目 隹
㜺	女 告字头 见字底 告字头 见字底 貝
㜻	女 言 糹 糹 心
㜼	女 田 田 田 冖 且
㜽	巛 子
㜾	子 全字头 乔字底
㜿	子 予
㝀	母 子
㝁	勹 日 子
㝂	子 扌 斤
㝃	子 尔字头 口 见字底
㝄	享字头 子 七 凵
㝅	彀字框无一 1 子
㝆	子 壴 口
㝇	享字头 子 享字头 子
㝈	言 糹 糹 子 子
㝉	宀 1
㝊	宀 又
㝋	宀 了
㝌	宀 久二 4
㝍	宀 与无横 1
㝎	宀 之
㝏	宀 全字头 乔字底
㝐	穴 厶
㝑	宀 方
㝒	宀 古
㝓	宀 合
㝔	宀 亠 八 乂
㝕	宀 心 又
㝖	宀 夕 夕
㝗	宀 4 艮
㝘	宀 言
㝙	宀 王 1 八
㝚	宀 3 延字心无撇 廴
㝛	宀 亻 1 囗 人
㝜	宀 龷 日
㝝	宀 木 木
㝞	宀 1 亞无一
㝟	宀 1 見
㝠	宀 日 亠 八
㝡	宀 耳 又
㝢	宀 3 口 冂 虫无口
㝣	宀 丰 刀 大
㝤	宀 寒字腰 冂 里无日
㝥	宀 爿 米
㝦	宀 隹 乃
㝧	宀 女 人 人 土
